,id,jumlah_suara,presentase,urut,pasangan,id_provinsi,NAME_1
1,35,913309,45.61,2,JOKO WIDODO & JUSUF KALLA,11,Aceh
3,51,1535110,71.42,2,JOKO WIDODO & JUSUF KALLA,51,Bali
2,43,412359,67.26,2,JOKO WIDODO & JUSUF KALLA,19,Bangka-Belitung
4,50,2398631,42.9,2,JOKO WIDODO & JUSUF KALLA,36,Banten
5,41,523669,54.73,2,JOKO WIDODO & JUSUF KALLA,17,Bengkulu
8,62,221497,36.9,2,JOKO WIDODO & JUSUF KALLA,75,Gorontalo
24,67,360379,67.63,2,JOKO WIDODO & JUSUF KALLA,92,Irian Jaya Barat
7,45,2859894,53.08,2,JOKO WIDODO & JUSUF KALLA,31,Jakarta Raya
10,39,897787,50.75,2,JOKO WIDODO & JUSUF KALLA,15,Jambi
9,46,9530315,40.22,2,JOKO WIDODO & JUSUF KALLA,32,Jawa Barat
11,47,12959540,66.65,2,JOKO WIDODO & JUSUF KALLA,33,Jawa Tengah
12,49,11669313,53.17,2,JOKO WIDODO & JUSUF KALLA,35,Jawa Timur
13,54,1573046,60.38,2,JOKO WIDODO & JUSUF KALLA,61,Kalimantan Barat
14,56,939748,49.95,2,JOKO WIDODO & JUSUF KALLA,63,Kalimantan Selatan
15,55,696199,59.79,2,JOKO WIDODO & JUSUF KALLA,62,Kalimantan Tengah
16,57,1190156,63.38,2,JOKO WIDODO & JUSUF KALLA,64,Kalimantan Timur
0,0,0,0,0,BELUM MEKAR,0,Kalimantan Utara
17,44,491819,59.63,2,JOKO WIDODO & JUSUF KALLA,21,Kepulauan Riau
18,42,2299889,53.07,2,JOKO WIDODO & JUSUF KALLA,18,Lampung
21,65,256601,45.55,2,JOKO WIDODO & JUSUF KALLA,82,Maluku Utara
20,64,44304,50.52,2,JOKO WIDODO & JUSUF KALLA,81,Maluku
22,52,701238,27.55,2,JOKO WIDODO & JUSUF KALLA,52,Nusa Tenggara Barat
23,53,1488076,65.92,2,JOKO WIDODO & JUSUF KALLA,53,Nusa Tenggara Timur
25,66,2026735,72.49,2,JOKO WIDODO & JUSUF KALLA,91,Papua
26,38,1342817,49.88,2,JOKO WIDODO & JUSUF KALLA,14,Riau
27,63,456021,73.37,2,JOKO WIDODO & JUSUF KALLA,76,Sulawesi Barat
28,60,3037026,71.43,2,JOKO WIDODO & JUSUF KALLA,73,Sulawesi Selatan
29,59,767151,54.83,2,JOKO WIDODO & JUSUF KALLA,72,Sulawesi Tengah
30,61,622217,54.9,2,JOKO WIDODO & JUSUF KALLA,74,Sulawesi Tenggara
31,58,724553,53.88,2,JOKO WIDODO & JUSUF KALLA,71,Sulawesi Utara
32,37,539308,23.08,2,JOKO WIDODO & JUSUF KALLA,13,Sumatera Barat
33,40,2027049,48.74,2,JOKO WIDODO & JUSUF KALLA,16,Sumatera Selatan
34,36,3494835,55.24,2,JOKO WIDODO & JUSUF KALLA,12,Sumatera Utara
6,48,1234249,55.81,2,JOKO WIDODO & JUSUF KALLA,34,Yogyakarta
